dx_cd|ICD9|ICD10
V150|PERSONAL HISTORY OF ALLERGY, OTHER THAN TO MEDICINAL AGENTS, PRESENTING HAZARDS TO HEALTH|PEDAL CYCLE DRIVER INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN NONTRAFFIC ACCIDENT
V151|PERSONAL HISTORY OF SURGERY TO HEART AND GREAT VESSELS, PRESENTING HAZARDS TO HEALTH|PEDAL CYCLE PASSENGER INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN NONTRAFFIC ACCIDENT
V152|PERSONAL HISTORY OF SURGERY TO OTHER ORGANS|UNSPECIFIED PEDAL CYCLIST INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN NONTRAFFIC ACCIDENT
V153|PERSONAL HISTORY OF IRRADIATION, PRESENTING HAZARDS TO HEALTH|PERSON BOARDING OR ALIGHTING A PEDAL CYCLE INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE
V154|PERSONAL HISTORY OF PSYCHOLOGICAL TRAUMA, PRESENTING HAZARDS TO HEALTH|PEDAL CYCLE DRIVER INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN TRAFFIC ACCIDENT
V155|PERSONAL HISTORY OF INJURY|PEDAL CYCLE PASSENGER INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN TRAFFIC ACCIDENT
V159|UNSPECIFIED PERSONAL HISTORY PRESENTING HAZARDS TO HEALTH|UNSPECIFIED PEDAL CYCLIST INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN TRAFFIC ACCIDENT
V16|FAMILY HISTORY OF MALIGNANT NEOPLASM|PEDAL CYCLE RIDER INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE
V160|FAMILY HISTORY OF MALIGNANT NEOPLASM OF GASTROINTESTINAL TRACT|PEDAL CYCLE DRIVER INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN NONTRAFFIC ACCIDENT
V161|FAMILY HISTORY OF MALIGNANT NEOPLASM OF TRACHEA, BRONCHUS, AND LUNG|PEDAL CYCLE PASSENGER INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN NONTRAFFIC ACCIDENT
V162|FAMILY HISTORY OF MALIGNANT NEOPLASM OF OTHER RESPIRATORY AND INTRATHORACIC ORGANS|UNSPECIFIED PEDAL CYCLIST INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN NONTRAFFIC ACCIDENT
V163|FAMILY HISTORY OF MALIGNANT NEOPLASM OF BREAST|PERSON BOARDING OR ALIGHTING A PEDAL CYCLE INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN NONTRAFFIC ACCIDENT
V164|FAMILY HISTORY OF MALIGNANT NEOPLASM OF GENITAL ORGANS|PEDAL CYCLE DRIVER INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN TRAFFIC ACCIDENT
V165|FAMILY HISTORY OF MALIGNANT NEOPLASM OF URINARY ORGANS|PEDAL CYCLE PASSENGER INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN TRAFFIC ACCIDENT
V169|FAMILY HISTORY OF UNSPECIFIED MALIGNANT NEOPLASM|UNSPECIFIED PEDAL CYCLIST INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN TRAFFIC ACCIDENT
V17|FAMILY HISTORY OF CERTAIN CHRONIC DISABLING DISEASES|PEDAL CYCLE RIDER INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT
V170|FAMILY HISTORY OF PSYCHIATRIC CONDITION|PEDAL CYCLE DRIVER INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT IN NONTRAFFIC ACCIDENT
V171|FAMILY HISTORY OF STROKE (CEREBROVASCULAR)|PEDAL CYCLE PASSENGER INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT IN NONTRAFFIC ACCIDENT
V172|FAMILY HISTORY OF OTHER NEUROLOGICAL DISEASES|UNSPECIFIED PEDAL CYCLIST INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT IN NONTRAFFIC ACCIDENT
V173|FAMILY HISTORY OF ISCHEMIC HEART DISEASE|PERSON BOARDING OR ALIGHTING A PEDAL CYCLE INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT
V174|FAMILY HISTORY OF OTHER CARDIOVASCULAR DISEASES|PEDAL CYCLE DRIVER INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT IN TRAFFIC ACCIDENT
V175|FAMILY HISTORY OF ASTHMA|PEDAL CYCLE PASSENGER INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT IN TRAFFIC ACCIDENT
V18|FAMILY HISTORY OF CERTAIN OTHER SPECIFIC CONDITIONS|PEDAL CYCLE RIDER INJURED IN NONCOLLISION TRANSPORT ACCIDENT
V180|FAMILY HISTORY OF DIABETES MELLITUS|PEDAL CYCLE DRIVER INJURED IN NONCOLLISION TRANSPORT ACCIDENT IN NONTRAFFIC ACCIDENT
V181|FAMILY HISTORY OF OTHER ENDOCRINE AND METABOLIC DISEASES|PEDAL CYCLE PASSENGER INJURED IN NONCOLLISION TRANSPORT ACCIDENT IN NONTRAFFIC ACCIDENT
V182|FAMILY HISTORY OF ANEMIA|UNSPECIFIED PEDAL CYCLIST INJURED IN NONCOLLISION TRANSPORT ACCIDENT IN NONTRAFFIC ACCIDENT
V183|FAMILY HISTORY OF OTHER BLOOD DISORDERS|PERSON BOARDING OR ALIGHTING A PEDAL CYCLE INJURED IN NONCOLLISION TRANSPORT ACCIDENT
V184|FAMILY HISTORY OF INTELLECTUAL DISABILITIES|PEDAL CYCLE DRIVER INJURED IN NONCOLLISION TRANSPORT ACCIDENT IN TRAFFIC ACCIDENT
V185|FAMILY HISTORY, DIGESTIVE DISORDERS|PEDAL CYCLE PASSENGER INJURED IN NONCOLLISION TRANSPORT ACCIDENT IN TRAFFIC ACCIDENT
V189|FAMILY HISTORY, GENETIC DISEASE CARRIER|UNSPECIFIED PEDAL CYCLIST INJURED IN NONCOLLISION TRANSPORT ACCIDENT IN TRAFFIC ACCIDENT
V19|FAMILY HISTORY OF OTHER CONDITIONS|PEDAL CYCLE RIDER INJURED IN OTHER AND UNSPECIFIED TRANSPORT ACCIDENTS
V190|FAMILY HISTORY OF BLINDNESS OR VISUAL LOSS|PEDAL CYCLE DRIVER INJURED IN COLLISION WITH OTHER AND UNSPECIFIED MOTOR VEHICLES IN NONTRAFFIC ACCIDENT
V191|FAMILY HISTORY OF OTHER EYE DISORDERS|PEDAL CYCLE PASSENGER INJURED IN COLLISION WITH OTHER AND UNSPECIFIED MOTOR VEHICLES IN NONTRAFFIC ACCIDENT
V1919|FAMILY HISTORY OF OTHER SPECIFIED EYE DISORDER|PEDAL CYCLE PASSENGER INJURED IN COLLISION WITH OTHER MOTOR VEHICLES IN NONTRAFFIC ACCIDENT
V192|FAMILY HISTORY OF DEAFNESS OR HEARING LOSS|UNSPECIFIED PEDAL CYCLIST INJURED IN COLLISION WITH OTHER AND UNSPECIFIED MOTOR VEHICLES IN NONTRAFFIC ACCIDENT
V193|FAMILY HISTORY OF OTHER EAR DISORDERS|PEDAL CYCLIST (DRIVER) (PASSENGER) INJURED IN UNSPECIFIED NONTRAFFIC ACCIDENT
V194|FAMILY HISTORY OF SKIN CONDITIONS|PEDAL CYCLE DRIVER INJURED IN COLLISION WITH OTHER AND UNSPECIFIED MOTOR VEHICLES IN TRAFFIC ACCIDENT
V195|FAMILY HISTORY OF CONGENITAL ANOMALIES|PEDAL CYCLE PASSENGER INJURED IN COLLISION WITH OTHER AND UNSPECIFIED MOTOR VEHICLES IN TRAFFIC ACCIDENT
V196|FAMILY HISTORY OF ALLERGIC DISORDERS|UNSPECIFIED PEDAL CYCLIST INJURED IN COLLISION WITH OTHER AND UNSPECIFIED MOTOR VEHICLES IN TRAFFIC ACCIDENT
V198|FAMILY HISTORY OF OTHER CONDITION|PEDAL CYCLIST (DRIVER) (PASSENGER) INJURED IN OTHER SPECIFIED TRANSPORT ACCIDENTS
V20|HEALTH SUPERVISION OF INFANT OR CHILD|MOTORCYCLE RIDER INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL
V200|HEALTH SUPERVISION OF FOUNDLING|MOTORCYCLE DRIVER INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL IN NONTRAFFIC ACCIDENT
V201|OTHER HEALTHY INFANT OR CHILD RECEIVING CARE|MOTORCYCLE PASSENGER INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL IN NONTRAFFIC ACCIDENT
V202|ROUTINE INFANT OR CHILD HEALTH CHECK|UNSPECIFIED MOTORCYCLE RIDER INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL IN NONTRAFFIC ACCIDENT
V203|NEWBORN HEALTH SUPERVISION|PERSON BOARDING OR ALIGHTING A MOTORCYCLE INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL
V21|CONSTITUTIONAL STATES IN DEVELOPMENT|MOTORCYCLE RIDER INJURED IN COLLISION WITH PEDAL CYCLE
V210|PERIOD OF RAPID GROWTH IN CHILDHOOD|MOTORCYCLE DRIVER INJURED IN COLLISION WITH PEDAL CYCLE IN NONTRAFFIC ACCIDENT
V211|PUBERTY|MOTORCYCLE PASSENGER INJURED IN COLLISION WITH PEDAL CYCLE IN NONTRAFFIC ACCIDENT
V212|OTHER DEVELOPMENT OF ADOLESCENCE|UNSPECIFIED MOTORCYCLE RIDER INJURED IN COLLISION WITH PEDAL CYCLE IN NONTRAFFIC ACCIDENT
V213|LOW BIRTH WEIGHT STATUS|PERSON BOARDING OR ALIGHTING A MOTORCYCLE INJURED IN COLLISION WITH PEDAL CYCLE
V219|UNSPECIFIED CONSTITUTIONAL STATE IN DEVELOPMENT|UNSPECIFIED MOTORCYCLE RIDER INJURED IN COLLISION WITH PEDAL CYCLE IN TRAFFIC ACCIDENT
V22|NORMAL PREGNANCY|MOTORCYCLE RIDER INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE
V220|SUPERVISION OF NORMAL FIRST PREGNANCY|MOTORCYCLE DRIVER INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE IN NONTRAFFIC ACCIDENT
V221|SUPERVISION OF OTHER NORMAL PREGNANCY|MOTORCYCLE PASSENGER INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE IN NONTRAFFIC ACCIDENT
V222|PREGNANT STATE, INCIDENTAL|UNSPECIFIED MOTORCYCLE RIDER INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE IN NONTRAFFIC ACCIDENT
V23|SUPERVISION OF HIGH-RISK PREGNANCY|MOTORCYCLE RIDER INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN
V230|SUPERVISION OF HIGH-RISK PREGNANCY WITH HISTORY OF INFERTILITY|MOTORCYCLE DRIVER INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN IN NONTRAFFIC ACCIDENT
V231|SUPERVISION OF HIGH-RISK PREGNANCY WITH HISTORY OF TROPHOBLASTIC DISEASE|MOTORCYCLE PASSENGER INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN IN NONTRAFFIC ACCIDENT
V232|SUPERVISION OF HIGH-RISK PREGNANCY WITH HISTORY OF ABORTION|UNSPECIFIED MOTORCYCLE RIDER INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN IN NONTRAFFIC ACCIDENT
V233|SUPERVISION OF HIGH-RISK PREGNANCY WITH GRAND MULTIPARITY|PERSON BOARDING OR ALIGHTING A MOTORCYCLE INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN
V234|SUPERVISION OF HIGH-RISK PREGNANCY WITH OTHER POOR OBSTETRIC HISTORY|MOTORCYCLE DRIVER INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN IN TRAFFIC ACCIDENT
V235|SUPERVISION OF HIGH-RISK PREGNANCY WITH OTHER POOR REPRODUCTIVE HISTORY|MOTORCYCLE PASSENGER INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN IN TRAFFIC ACCIDENT
V239|SUPERVISION OF UNSPECIFIED HIGH-RISK PREGNANCY|UNSPECIFIED MOTORCYCLE RIDER INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN IN TRAFFIC ACCIDENT
V24|POSTPARTUM CARE AND EXAMINATION|MOTORCYCLE RIDER INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS
V240|POSTPARTUM CARE AND EXAMINATION IMMEDIATELY AFTER DELIVERY|MOTORCYCLE DRIVER INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS IN NONTRAFFIC ACCIDENT
V241|POSTPARTUM CARE AND EXAMINATION OF LACTATING MOTHER|MOTORCYCLE PASSENGER INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS IN NONTRAFFIC ACCIDENT
V242|ROUTINE POSTPARTUM FOLLOW-UP|UNSPECIFIED MOTORCYCLE RIDER INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS IN NONTRAFFIC ACCIDENT
V25|ENCOUNTER FOR CONTRACEPTIVE MANAGEMENT|MOTORCYCLE RIDER INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE
V250|GENERAL COUNSELING AND ADVICE ON CONTRACEPTIVE MANAGEMENT|MOTORCYCLE DRIVER INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN NONTRAFFIC ACCIDENT
V251|ENCOUNTER FOR INSERTION OR REMOVAL OF INTRAUTERINE CONTRACEPTIVE DEVICE|MOTORCYCLE PASSENGER INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN NONTRAFFIC ACCIDENT
V252|STERILIZATION|UNSPECIFIED MOTORCYCLE RIDER INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN NONTRAFFIC ACCIDENT
V253|MENSTRUAL EXTRACTION|PERSON BOARDING OR ALIGHTING A MOTORCYCLE INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE
V254|SURVEILLANCE OF PREVIOUSLY PRESCRIBED CONTRACEPTIVE METHODS|MOTORCYCLE DRIVER INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN TRAFFIC ACCIDENT
V255|INSERTION OF IMPLANTABLE SUBDERMAL CONTRACEPTIVE|MOTORCYCLE PASSENGER INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN TRAFFIC ACCIDENT
V259|UNSPECIFIED CONTRACEPTIVE MANAGEMENT|UNSPECIFIED MOTORCYCLE RIDER INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN TRAFFIC ACCIDENT
V26|PROCREATIVE MANAGEMENT|MOTORCYCLE RIDER INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE
V260|TUBOPLASTY OR VASOPLASTY AFTER PREVIOUS STERILIZATION|MOTORCYCLE DRIVER INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN NONTRAFFIC ACCIDENT
V261|ARTIFICIAL INSEMINATION|MOTORCYCLE PASSENGER INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN NONTRAFFIC ACCIDENT
V262|PROCREATION MANAGEMENT INVESTIGATION AND TESTING|UNSPECIFIED MOTORCYCLE RIDER INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN NONTRAFFIC ACCIDENT
V263|GENETIC COUNSELING AND TESTING|PERSON BOARDING OR ALIGHTING A MOTORCYCLE INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE
V264|PROCREATIVE MANAGEMENT,GENERAL COUNSELING AND ADVICE|MOTORCYCLE DRIVER INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN TRAFFIC ACCIDENT
V265|STERILAIZATION STATUS|MOTORCYCLE PASSENGER INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN TRAFFIC ACCIDENT
V269|UNSPECIFIED PROCREATIVE MANAGEMENT|UNSPECIFIED MOTORCYCLE RIDER INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN TRAFFIC ACCIDENT
V27|OUTCOME OF DELIVERY|MOTORCYCLE RIDER INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT
V270|OUTCOME OF DELIVERY, SINGLE LIVEBORN|MOTORCYCLE DRIVER INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT IN NONTRAFFIC ACCIDENT
V271|OUTCOME OF DELIVERY, SINGLE STILLBORN|MOTORCYCLE PASSENGER INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT IN NONTRAFFIC ACCIDENT
V272|OUTCOME OF DELIVERY, TWINS, BOTH LIVEBORN|UNSPECIFIED MOTORCYCLE RIDER INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT IN NONTRAFFIC ACCIDENT
V273|OUTCOME OF DELIVERY, TWINS, ONE LIVEBORN AND ONE STILLBORN|PERSON BOARDING OR ALIGHTING A MOTORCYCLE INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT
V274|OUTCOME OF DELIVERY, TWINS, BOTH STILLBORN|MOTORCYCLE DRIVER INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT IN TRAFFIC ACCIDENT
V275|OUTCOME OF DELIVERY, OTHER MULTIPLE BIRTH, ALL LIVEBORN|MOTORCYCLE PASSENGER INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT IN TRAFFIC ACCIDENT
V279|OUTCOME OF DELIVERY, UNSPECIFIED OUTCOME OF DELIVERY|UNSPECIFIED MOTORCYCLE RIDER INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT IN TRAFFIC ACCIDENT
V28|ENCOUNTER FOR ANTENATAL SCREENING OF MOTHER|MOTORCYCLE RIDER INJURED IN NONCOLLISION TRANSPORT ACCIDENT
V280|ANTENATAL SCREENING FOR CHROMOSOMAL ANOMALIES BY AMNIOCENTESIS|MOTORCYCLE DRIVER INJURED IN NONCOLLISION TRANSPORT ACCIDENT IN NONTRAFFIC ACCIDENT
V281|ANTENATAL SCREENING FOR RAISED ALPHA-FETOPROTEIN LEVELS IN AMNIOTIC FLUID|MOTORCYCLE PASSENGER INJURED IN NONCOLLISION TRANSPORT ACCIDENT IN NONTRAFFIC ACCIDENT
V282|OTHER ANTENATAL SCREENING BASED ON AMNIOCENTESIS|UNSPECIFIED MOTORCYCLE RIDER INJURED IN NONCOLLISION TRANSPORT ACCIDENT IN NONTRAFFIC ACCIDENT
V283|ENCOUNTER FOR ROUTINE SCREENING FOR MALFORMATION USING ULTRASONICS|PERSON BOARDING OR ALIGHTING A MOTORCYCLE INJURED IN NONCOLLISION TRANSPORT ACCIDENT
V284|ANTENATAL SCREENING FOR FETAL GROWTH RETARDATION USING ULTRASONICS|MOTORCYCLE DRIVER INJURED IN NONCOLLISION TRANSPORT ACCIDENT IN TRAFFIC ACCIDENT
V285|ANTENATAL SCREENING FOR ISOIMMUNIZATION|MOTORCYCLE PASSENGER INJURED IN NONCOLLISION TRANSPORT ACCIDENT IN TRAFFIC ACCIDENT
V289|UNSPECIFIED ANTENATAL SCREENING|UNSPECIFIED MOTORCYCLE RIDER INJURED IN NONCOLLISION TRANSPORT ACCIDENT IN TRAFFIC ACCIDENT
V29|OBSERVATION AND EVALUATION OF NEWBORNS FOR SUSPECTED CONDITIONS NOT FOUND|MOTORCYCLE RIDER INJURED IN OTHER AND UNSPECIFIED TRANSPORT ACCIDENTS
V290|OBSERVATION FOR SUSPECTED INFECTIOUS CONDITION|MOTORCYCLE DRIVER INJURED IN COLLISION WITH OTHER AND UNSPECIFIED MOTOR VEHICLES IN NONTRAFFIC ACCIDENT
V291|OBSERVATION FOR SUSPECTED NEUROLOGICAL CONDITIONS|MOTORCYCLE PASSENGER INJURED IN COLLISION WITH OTHER AND UNSPECIFIED MOTOR VEHICLES IN NONTRAFFIC ACCIDENT
V292|OBSERVATION AND EVALUATION OF NEWBORN FOR SUSPECTED RESPIRATORY CONDITION|UNSPECIFIED MOTORCYCLE RIDER INJURED IN COLLISION WITH OTHER AND UNSPECIFIED MOTOR VEHICLES IN NONTRAFFIC ACCIDENT
V293|OBSERVATION FOR SUSPECTED GENETIC OR METABOLIC CONDITION|MOTORCYCLE RIDER (DRIVER) (PASSENGER) INJURED IN UNSPECIFIED NONTRAFFIC ACCIDENT
V298|OBSERVATION FOR OTHER SPECIFIED SUSPECTED CONDITIONS|MOTORCYCLE RIDER (DRIVER) (PASSENGER) INJURED IN OTHER SPECIFIED TRANSPORT ACCIDENTS
V299|OBSERVATION FOR UNSPECIFIED SUSPECTED CONDITIONS|MOTORCYCLE RIDER (DRIVER) (PASSENGER) INJURED IN UNSPECIFIED TRAFFIC ACCIDENT
V30|SINGLE LIVEBORN|OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL
V300|SINGLE LIVEBORN, BORN IN HOSPITAL|DRIVER OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL IN NONTRAFFIC ACCIDENT
V301|SINGLE LIVEBORN, BORN BEFORE ADMISSION TO HOSPITAL|PASSENGER IN THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL IN NONTRAFFIC ACCIDENT
V302|SINGLE LIVEBORN, BORN OUTSIDE HOSPITAL AND NOT HOSPITALIZED|PERSON ON OUTSIDE OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL IN NONTRAFFIC ACCIDENT
V31|TWIN BIRTH, MATE LIVEBORN|OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH PEDAL CYCLE
V310|TWIN BIRTH, MATE LIVEBORN, BORN IN HOSPITAL|DRIVER OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH PEDAL CYCLE IN NONTRAFFIC ACCIDENT
V311|TWIN BIRTH, MATE LIVEBORN, BORN BEFORE ADMISSION TO HOSPITAL|PASSENGER IN THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH PEDAL CYCLE IN NONTRAFFIC ACCIDENT
V312|TWIN BIRTH, MATE LIVEBORN, BORN OUTSIDE HOSPITAL AND NOT HOSPITALIZED|PERSON ON OUTSIDE OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH PEDAL CYCLE IN NONTRAFFIC ACCIDENT
V32|TWIN BIRTH, MATE STILLBORN|OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE
V320|TWIN BIRTH, MATE STILLBORN, BORN IN HOSPITAL|DRIVER OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE IN NONTRAFFIC ACCIDENT
V321|TWIN BIRTH, MATE STILLBORN, BORN BEFORE ADMISSION TO HOSPITAL|PASSENGER IN THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE IN NONTRAFFIC ACCIDENT
V322|TWIN BIRTH, MATE STILLBORN, BORN OUTSIDE HOSPITAL AND NOT HOSPITALIZED|PERSON ON OUTSIDE OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE IN NONTRAFFIC ACCIDENT
V33|TWIN BIRTH, UNSPECIFIED WHETHER MATE LIVEBORN OR STILLBORN|OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN
V330|TWIN BIRTH, UNSPECIFIED WHETHER MATE LIVEBORN OR STILLBORN, BORN IN HOSPITAL|DRIVER OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN IN NONTRAFFIC ACCIDENT
V331|TWIN BIRTH, UNSPECIFIED WHETHER MATE LIVEBORN OR STILLBORN, BORN BEFORE ADMISSION TO HOSPITAL|PASSENGER IN THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN IN NONTRAFFIC ACCIDENT
V332|TWIN BIRTH, UNSPECIFIED WHETHER MATE LIVEBORN OR STILLBORN, BORN OUTSIDE HOSPITAL AND NOT HOSPITALIZED|PERSON ON OUTSIDE OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN IN NONTRAFFIC ACCIDENT
V34|OTHER MULTIPLE BIRTH (THREE OR MORE), MATES ALL LIVEBORN|OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS
V340|OTHER MULTIPLE BIRTH (THREE OR MORE), MATES ALL LIVEBORN, BORN IN HOSPITAL|DRIVER OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS IN NONTRAFFIC ACCIDENT
V341|OTHER MULTIPLE BIRTH (THREE OR MORE), MATES ALL LIVEBORN, BORN BEFORE ADMISSION TO HOSPITAL|PASSENGER IN THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS IN NONTRAFFIC ACCIDENT
V342|OTHER MULTIPLE BIRTH (THREE OR MORE), MATES ALL LIVEBORN, BORN OUTSIDE HOSPITAL AND NOT HOSPITALIZED|PERSON ON OUTSIDE OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS IN NONTRAFFIC ACCIDENT
V35|OTHER MULTIPLE BIRTH (THREE OR MORE), MATES ALL STILLBORN|OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE
V350|OTHER MULTIPLE BIRTH (THREE OR MORE), MATES ALL STILL BORN, BORN IN HOSPITAL|DRIVER OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN NONTRAFFIC ACCIDENT
V351|OTHER MULTIPLE BIRTH (THREE OR MORE), MATES ALL STILLBORN, BORN BEFORE ADMISSION TO HOSPITAL|PASSENGER IN THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN NONTRAFFIC ACCIDENT
V352|OTHER MULTIPLE BIRTH (THREE OR MORE), MATES ALL STILLBORN, BORN OUTSIDE OF HOSPITAL AND NOT HOSPITALIZED|PERSON ON OUTSIDE OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN NONTRAFFIC ACCIDENT
V36|OTHER MULTIPLE BIRTH (THREE OR MORE), MATES LIVEBORN AND STILLBORN|OCCUPANT OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE
V360|OTHER MULTIPLE BIRTH (THREE OR MORE), MATES LIVEBORN AND STILLBORN, BORN IN HOSPITAL|DRIVER OF THREE-WHEELED MOTOR VEHICLE INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN NONTRAFFIC ACCIDENT
