"dx_cd|""diagnosis_desc""|""diag_vers_typ_id""",,,,
"V112|""UNSPECIFIED PEDAL CYCLIST INJURED IN COLLISION WITH OTHER PEDAL CYCLE IN NONTRAFFIC ACCIDENT""|2",,,,
"V113|""PERSONAL HISTORY OF ALCOHOLISM""|1",,,,
"V113|""PERSON BOARDING OR ALIGHTING A PEDAL CYCLE INJURED IN COLLISION WITH OTHER PEDAL CYCLE""|2",,,,
"V114|""PERSONAL HISTORY OF COMBAT AND OPERATIONAL STRESS REACTION""|1",,,,
"V114|""PEDAL CYCLE DRIVER INJURED IN COLLISION WITH OTHER PEDAL CYCLE IN TRAFFIC ACCIDENT""|2",,,,
"V119|""PERSONAL HISTORY OF UNSPECIFIED MENTAL DISORDER""|1",,,,
"V119|""UNSPECIFIED PEDAL CYCLIST INJURED IN COLLISION WITH OTHER PEDAL CYCLE IN TRAFFIC ACCIDENT""|2",,,,
"V12|""PERSONAL HISTORY OF CERTAIN OTHER DISEASES""|1",,,,
"V12|""PEDAL CYCLE RIDER INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE""|2",,,,
"V120|""PERSONAL HISTORY OF INFECTIOUS AND PARASITIC DISEASE""|1",,,,
"V120|""PEDAL CYCLE DRIVER INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE IN NONTRAFFIC ACCIDENT""|2",,,,
"V121|""PERSONAL HISTORY OF NUTRITIONAL DEFICIENCY""|1",,,,
"V121|""PEDAL CYCLE PASSENGER INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE IN NONTRAFFIC ACCIDENT""|2",,,,
"V122|""PERSONAL HISTORY OF ENDOCRINE", METABOLIC," AND IMMUNITY DISORDERS""|1",,
"V122|""UNSPECIFIED PEDAL CYCLIST INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE IN NONTRAFFIC ACCIDENT""|2",,,,
"V123|""PERSONAL HISTORY OF DISEASES OF BLOOD AND BLOOD-FORMING ORGANS""|1",,,,
"V123|""PERSON BOARDING OR ALIGHTING A PEDAL CYCLE INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE""|2",,,,
"V124|""PERSONAL HISTORY OF DISORDERS OF NERVOUS SYSTEM AND SENSE ORGANS""|1",,,,
"V124|""PEDAL CYCLE DRIVER INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE IN TRAFFIC ACCIDENT""|2",,,,
"V125|""PERSONAL HISTORY OF DISEASES OF CIRCULATORY SYSTEM""|1",,,,
"V125|""PEDAL CYCLE PASSENGER INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE IN TRAFFIC ACCIDENT""|2",,,,
"V13|""PERSONAL HISTORY OF OTHER DISEASES""|1",,,,
"V13|""PEDAL CYCLE RIDER INJURED IN COLLISION WITH CAR"," PICK-UP TRUCK OR VAN""|2",,,
"V130|""PERSONAL HISTORY OF DISORDERS OF THE URINARY SYSTEM""|1",,,,
"V130|""PEDAL CYCLE DRIVER INJURED IN COLLISION WITH CAR"," PICK-UP TRUCK OR VAN IN NONTRAFFIC ACCIDENT""|2",,,
"V131|""PERSONAL HISTORY OF TROPHOBLASTIC DISEASE""|1",,,,
"V131|""PEDAL CYCLE PASSENGER INJURED IN COLLISION WITH CAR"," PICK-UP TRUCK OR VAN IN NONTRAFFIC ACCIDENT""|2",,,
"V132|""PERSONAL HISTORY OF OTHER GENITAL SYSTEM AND OBSTETRIC DISORDERS""|1",,,,
"V132|""UNSPECIFIED PEDAL CYCLIST INJURED IN COLLISION WITH CAR"," PICK-UP TRUCK OR VAN IN NONTRAFFIC ACCIDENT""|2",,,
"V133|""PERSONAL HISTORY OF DISEASES OF SKIN AND SUBCUTANEOUS TISSUE""|1",,,,
"V133|""PERSON BOARDING OR ALIGHTING A PEDAL CYCLE INJURED IN COLLISION WITH CAR"," PICK-UP TRUCK OR VAN""|2",,,
"V134|""PERSONAL HISTORY OF ARTHRITIS""|1",,,,
"V134|""PEDAL CYCLE DRIVER INJURED IN COLLISION WITH CAR"," PICK-UP TRUCK OR VAN IN TRAFFIC ACCIDENT""|2",,,
"V135|""PERSONAL HISTORY OF OTHER MUSCULOSKELETAL DISORDERS""|1",,,,
"V135|""PEDAL CYCLE PASSENGER INJURED IN COLLISION WITH CAR"," PICK-UP TRUCK OR VAN IN TRAFFIC ACCIDENT""|2",,,
"V139|""PERSONAL HISTORY OF UNSPECIFIED DISEASE""|1",,,,
"V139|""UNSPECIFIED PEDAL CYCLIST INJURED IN COLLISION WITH CAR"," PICK-UP TRUCK OR VAN IN TRAFFIC ACCIDENT""|2",,,
"V14|""PERSONAL HISTORY OF ALLERGY TO MEDICINAL AGENTS""|1",,,,
"V14|""PEDAL CYCLE RIDER INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS""|2",,,,
"V140|""PERSONAL HISTORY OF ALLERGY TO PENICILLIN""|1",,,,
"V140|""PEDAL CYCLE DRIVER INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS IN NONTRAFFIC ACCIDENT""|2",,,,
"V141|""PERSONAL HISTORY OF ALLERGY TO OTHER ANTIBIOTIC AGENT""|1",,,,
"V141|""PEDAL CYCLE PASSENGER INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS IN NONTRAFFIC ACCIDENT""|2",,,,
"V142|""PERSONAL HISTORY OF ALLERGY TO SULFONAMIDES""|1",,,,
"V142|""UNSPECIFIED PEDAL CYCLIST INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS IN NONTRAFFIC ACCIDENT""|2",,,,
"V143|""PERSONAL HISTORY OF ALLERGY TO OTHER ANTI-INFECTIVE AGENT""|1",,,,
"V143|""PERSON BOARDING OR ALIGHTING A PEDAL CYCLE INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS""|2",,,,
"V144|""PERSONAL HISTORY OF ALLERGY TO ANESTHETIC AGENT""|1",,,,
"V144|""PEDAL CYCLE DRIVER INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS IN TRAFFIC ACCIDENT""|2",,,,
"V145|""PERSONAL HISTORY OF ALLERGY TO NARCOTIC AGENT""|1",,,,
"V145|""PEDAL CYCLE PASSENGER INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS IN TRAFFIC ACCIDENT""|2",,,,
"V149|""PERSONAL HISTORY OF ALLERGY TO UNSPECIFIED MEDICINAL AGENT""|1",,,,
"V149|""UNSPECIFIED PEDAL CYCLIST INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS IN TRAFFIC ACCIDENT""|2",,,,
"V15|""OTHER PERSONAL HISTORY PRESENTING HAZARDS TO HEALTH""|1",,,,
"V15|""PEDAL CYCLE RIDER INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE""|2",,,,
"V150|""PERSONAL HISTORY OF ALLERGY", OTHER THAN TO MEDICINAL AGENTS," PRESENTING HAZARDS TO HEALTH""|1",,
"V150|""PEDAL CYCLE DRIVER INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN NONTRAFFIC ACCIDENT""|2",,,,
"V151|""PERSONAL HISTORY OF SURGERY TO HEART AND GREAT VESSELS"," PRESENTING HAZARDS TO HEALTH""|1",,,
"V151|""PEDAL CYCLE PASSENGER INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN NONTRAFFIC ACCIDENT""|2",,,,
"V152|""PERSONAL HISTORY OF SURGERY TO OTHER ORGANS""|1",,,,
"V152|""UNSPECIFIED PEDAL CYCLIST INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN NONTRAFFIC ACCIDENT""|2",,,,
"V153|""PERSONAL HISTORY OF IRRADIATION"," PRESENTING HAZARDS TO HEALTH""|1",,,
"V153|""PERSON BOARDING OR ALIGHTING A PEDAL CYCLE INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE""|2",,,,
"V154|""PERSONAL HISTORY OF PSYCHOLOGICAL TRAUMA"," PRESENTING HAZARDS TO HEALTH""|1",,,
"V154|""PEDAL CYCLE DRIVER INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN TRAFFIC ACCIDENT""|2",,,,
"V155|""PERSONAL HISTORY OF INJURY""|1",,,,
"V155|""PEDAL CYCLE PASSENGER INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN TRAFFIC ACCIDENT""|2",,,,
"V159|""UNSPECIFIED PERSONAL HISTORY PRESENTING HAZARDS TO HEALTH""|1",,,,
"V159|""UNSPECIFIED PEDAL CYCLIST INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN TRAFFIC ACCIDENT""|2",,,,
"V16|""FAMILY HISTORY OF MALIGNANT NEOPLASM""|1",,,,
"V16|""PEDAL CYCLE RIDER INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE""|2",,,,
"V160|""FAMILY HISTORY OF MALIGNANT NEOPLASM OF GASTROINTESTINAL TRACT""|1",,,,
"V160|""PEDAL CYCLE DRIVER INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN NONTRAFFIC ACCIDENT""|2",,,,
"V161|""FAMILY HISTORY OF MALIGNANT NEOPLASM OF TRACHEA", BRONCHUS," AND LUNG""|1",,
"V161|""PEDAL CYCLE PASSENGER INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN NONTRAFFIC ACCIDENT""|2",,,,
"V162|""FAMILY HISTORY OF MALIGNANT NEOPLASM OF OTHER RESPIRATORY AND INTRATHORACIC ORGANS""|1",,,,
"V162|""UNSPECIFIED PEDAL CYCLIST INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN NONTRAFFIC ACCIDENT""|2",,,,
"V163|""FAMILY HISTORY OF MALIGNANT NEOPLASM OF BREAST""|1",,,,
"V163|""PERSON BOARDING OR ALIGHTING A PEDAL CYCLE INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN NONTRAFFIC ACCIDENT""|2",,,,
"V164|""FAMILY HISTORY OF MALIGNANT NEOPLASM OF GENITAL ORGANS""|1",,,,
"V164|""PEDAL CYCLE DRIVER INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN TRAFFIC ACCIDENT""|2",,,,
"V165|""FAMILY HISTORY OF MALIGNANT NEOPLASM OF URINARY ORGANS""|1",,,,
"V165|""PEDAL CYCLE PASSENGER INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN TRAFFIC ACCIDENT""|2",,,,
"V169|""FAMILY HISTORY OF UNSPECIFIED MALIGNANT NEOPLASM""|1",,,,
"V169|""UNSPECIFIED PEDAL CYCLIST INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN TRAFFIC ACCIDENT""|2",,,,
"V17|""FAMILY HISTORY OF CERTAIN CHRONIC DISABLING DISEASES""|1",,,,
"V17|""PEDAL CYCLE RIDER INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT""|2",,,,
"V170|""FAMILY HISTORY OF PSYCHIATRIC CONDITION""|1",,,,
"V170|""PEDAL CYCLE DRIVER INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT IN NONTRAFFIC ACCIDENT""|2",,,,
"V171|""FAMILY HISTORY OF STROKE (CEREBROVASCULAR)""|1",,,,
"V171|""PEDAL CYCLE PASSENGER INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT IN NONTRAFFIC ACCIDENT""|2",,,,
"V172|""FAMILY HISTORY OF OTHER NEUROLOGICAL DISEASES""|1",,,,
"V172|""UNSPECIFIED PEDAL CYCLIST INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT IN NONTRAFFIC ACCIDENT""|2",,,,
"V173|""FAMILY HISTORY OF ISCHEMIC HEART DISEASE""|1",,,,
"V173|""PERSON BOARDING OR ALIGHTING A PEDAL CYCLE INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT""|2",,,,
"V174|""FAMILY HISTORY OF OTHER CARDIOVASCULAR DISEASES""|1",,,,
"V174|""PEDAL CYCLE DRIVER INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT IN TRAFFIC ACCIDENT""|2",,,,
"V175|""FAMILY HISTORY OF ASTHMA""|1",,,,
"V175|""PEDAL CYCLE PASSENGER INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT IN TRAFFIC ACCIDENT""|2",,,,
"V18|""FAMILY HISTORY OF CERTAIN OTHER SPECIFIC CONDITIONS""|1",,,,
"V18|""PEDAL CYCLE RIDER INJURED IN NONCOLLISION TRANSPORT ACCIDENT""|2",,,,
"V180|""FAMILY HISTORY OF DIABETES MELLITUS""|1",,,,
"V180|""PEDAL CYCLE DRIVER INJURED IN NONCOLLISION TRANSPORT ACCIDENT IN NONTRAFFIC ACCIDENT""|2",,,,
"V181|""FAMILY HISTORY OF OTHER ENDOCRINE AND METABOLIC DISEASES""|1",,,,
"V181|""PEDAL CYCLE PASSENGER INJURED IN NONCOLLISION TRANSPORT ACCIDENT IN NONTRAFFIC ACCIDENT""|2",,,,
"V182|""FAMILY HISTORY OF ANEMIA""|1",,,,
"V182|""UNSPECIFIED PEDAL CYCLIST INJURED IN NONCOLLISION TRANSPORT ACCIDENT IN NONTRAFFIC ACCIDENT""|2",,,,
"V183|""FAMILY HISTORY OF OTHER BLOOD DISORDERS""|1",,,,
"V183|""PERSON BOARDING OR ALIGHTING A PEDAL CYCLE INJURED IN NONCOLLISION TRANSPORT ACCIDENT""|2",,,,
"V184|""FAMILY HISTORY OF INTELLECTUAL DISABILITIES""|1",,,,
"V184|""PEDAL CYCLE DRIVER INJURED IN NONCOLLISION TRANSPORT ACCIDENT IN TRAFFIC ACCIDENT""|2",,,,
"V185|""FAMILY HISTORY"," DIGESTIVE DISORDERS""|1",,,
"V185|""PEDAL CYCLE PASSENGER INJURED IN NONCOLLISION TRANSPORT ACCIDENT IN TRAFFIC ACCIDENT""|2",,,,
"V189|""FAMILY HISTORY"," GENETIC DISEASE CARRIER""|1",,,
"V189|""UNSPECIFIED PEDAL CYCLIST INJURED IN NONCOLLISION TRANSPORT ACCIDENT IN TRAFFIC ACCIDENT""|2",,,,
"V19|""FAMILY HISTORY OF OTHER CONDITIONS""|1",,,,
"V19|""PEDAL CYCLE RIDER INJURED IN OTHER AND UNSPECIFIED TRANSPORT ACCIDENTS""|2",,,,
"V190|""FAMILY HISTORY OF BLINDNESS OR VISUAL LOSS""|1",,,,
"V190|""PEDAL CYCLE DRIVER INJURED IN COLLISION WITH OTHER AND UNSPECIFIED MOTOR VEHICLES IN NONTRAFFIC ACCIDENT""|2",,,,
"V191|""FAMILY HISTORY OF OTHER EYE DISORDERS""|1",,,,
"V191|""PEDAL CYCLE PASSENGER INJURED IN COLLISION WITH OTHER AND UNSPECIFIED MOTOR VEHICLES IN NONTRAFFIC ACCIDENT""|2",,,,
"V1919|""FAMILY HISTORY OF OTHER SPECIFIED EYE DISORDER""|1",,,,
"V1919|""PEDAL CYCLE PASSENGER INJURED IN COLLISION WITH OTHER MOTOR VEHICLES IN NONTRAFFIC ACCIDENT""|2",,,,
"V192|""FAMILY HISTORY OF DEAFNESS OR HEARING LOSS""|1",,,,
"V192|""UNSPECIFIED PEDAL CYCLIST INJURED IN COLLISION WITH OTHER AND UNSPECIFIED MOTOR VEHICLES IN NONTRAFFIC ACCIDENT""|2",,,,
"V193|""FAMILY HISTORY OF OTHER EAR DISORDERS""|1",,,,
"V193|""PEDAL CYCLIST (DRIVER) (PASSENGER) INJURED IN UNSPECIFIED NONTRAFFIC ACCIDENT""|2",,,,
"V194|""FAMILY HISTORY OF SKIN CONDITIONS""|1",,,,
"V194|""PEDAL CYCLE DRIVER INJURED IN COLLISION WITH OTHER AND UNSPECIFIED MOTOR VEHICLES IN TRAFFIC ACCIDENT""|2",,,,
"V195|""FAMILY HISTORY OF CONGENITAL ANOMALIES""|1",,,,
"V195|""PEDAL CYCLE PASSENGER INJURED IN COLLISION WITH OTHER AND UNSPECIFIED MOTOR VEHICLES IN TRAFFIC ACCIDENT""|2",,,,
"V196|""FAMILY HISTORY OF ALLERGIC DISORDERS""|1",,,,
"V196|""UNSPECIFIED PEDAL CYCLIST INJURED IN COLLISION WITH OTHER AND UNSPECIFIED MOTOR VEHICLES IN TRAFFIC ACCIDENT""|2",,,,
"V198|""FAMILY HISTORY OF OTHER CONDITION""|1",,,,
"V198|""PEDAL CYCLIST (DRIVER) (PASSENGER) INJURED IN OTHER SPECIFIED TRANSPORT ACCIDENTS""|2",,,,
"V20|""HEALTH SUPERVISION OF INFANT OR CHILD""|1",,,,
"V20|""MOTORCYCLE RIDER INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL""|2",,,,
"V200|""HEALTH SUPERVISION OF FOUNDLING""|1",,,,
"V200|""MOTORCYCLE DRIVER INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL IN NONTRAFFIC ACCIDENT""|2",,,,
"V201|""OTHER HEALTHY INFANT OR CHILD RECEIVING CARE""|1",,,,
"V201|""MOTORCYCLE PASSENGER INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL IN NONTRAFFIC ACCIDENT""|2",,,,
"V202|""ROUTINE INFANT OR CHILD HEALTH CHECK""|1",,,,
"V202|""UNSPECIFIED MOTORCYCLE RIDER INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL IN NONTRAFFIC ACCIDENT""|2",,,,
"V203|""NEWBORN HEALTH SUPERVISION""|1",,,,
"V203|""PERSON BOARDING OR ALIGHTING A MOTORCYCLE INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL""|2",,,,
"V21|""CONSTITUTIONAL STATES IN DEVELOPMENT""|1",,,,
"V21|""MOTORCYCLE RIDER INJURED IN COLLISION WITH PEDAL CYCLE""|2",,,,
"V210|""PERIOD OF RAPID GROWTH IN CHILDHOOD""|1",,,,
"V210|""MOTORCYCLE DRIVER INJURED IN COLLISION WITH PEDAL CYCLE IN NONTRAFFIC ACCIDENT""|2",,,,
"V211|""PUBERTY""|1",,,,
"V211|""MOTORCYCLE PASSENGER INJURED IN COLLISION WITH PEDAL CYCLE IN NONTRAFFIC ACCIDENT""|2",,,,
"V212|""OTHER DEVELOPMENT OF ADOLESCENCE""|1",,,,
"V212|""UNSPECIFIED MOTORCYCLE RIDER INJURED IN COLLISION WITH PEDAL CYCLE IN NONTRAFFIC ACCIDENT""|2",,,,
"V213|""LOW BIRTH WEIGHT STATUS""|1",,,,
"V213|""PERSON BOARDING OR ALIGHTING A MOTORCYCLE INJURED IN COLLISION WITH PEDAL CYCLE""|2",,,,
"V219|""UNSPECIFIED CONSTITUTIONAL STATE IN DEVELOPMENT""|1",,,,
"V219|""UNSPECIFIED MOTORCYCLE RIDER INJURED IN COLLISION WITH PEDAL CYCLE IN TRAFFIC ACCIDENT""|2",,,,
"V22|""NORMAL PREGNANCY""|1",,,,
"V22|""MOTORCYCLE RIDER INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE""|2",,,,
"V220|""SUPERVISION OF NORMAL FIRST PREGNANCY""|1",,,,
"V220|""MOTORCYCLE DRIVER INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE IN NONTRAFFIC ACCIDENT""|2",,,,
"V221|""SUPERVISION OF OTHER NORMAL PREGNANCY""|1",,,,
"V221|""MOTORCYCLE PASSENGER INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE IN NONTRAFFIC ACCIDENT""|2",,,,
"V222|""PREGNANT STATE"," INCIDENTAL""|1",,,
"V222|""UNSPECIFIED MOTORCYCLE RIDER INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE IN NONTRAFFIC ACCIDENT""|2",,,,
"V23|""SUPERVISION OF HIGH-RISK PREGNANCY""|1",,,,
"V23|""MOTORCYCLE RIDER INJURED IN COLLISION WITH CAR"," PICK-UP TRUCK OR VAN""|2",,,
"V230|""SUPERVISION OF HIGH-RISK PREGNANCY WITH HISTORY OF INFERTILITY""|1",,,,
"V230|""MOTORCYCLE DRIVER INJURED IN COLLISION WITH CAR"," PICK-UP TRUCK OR VAN IN NONTRAFFIC ACCIDENT""|2",,,
"V231|""SUPERVISION OF HIGH-RISK PREGNANCY WITH HISTORY OF TROPHOBLASTIC DISEASE""|1",,,,
"V231|""MOTORCYCLE PASSENGER INJURED IN COLLISION WITH CAR"," PICK-UP TRUCK OR VAN IN NONTRAFFIC ACCIDENT""|2",,,
"V232|""SUPERVISION OF HIGH-RISK PREGNANCY WITH HISTORY OF ABORTION""|1",,,,
"V232|""UNSPECIFIED MOTORCYCLE RIDER INJURED IN COLLISION WITH CAR"," PICK-UP TRUCK OR VAN IN NONTRAFFIC ACCIDENT""|2",,,
"V233|""SUPERVISION OF HIGH-RISK PREGNANCY WITH GRAND MULTIPARITY""|1",,,,
"V233|""PERSON BOARDING OR ALIGHTING A MOTORCYCLE INJURED IN COLLISION WITH CAR"," PICK-UP TRUCK OR VAN""|2",,,
"V234|""SUPERVISION OF HIGH-RISK PREGNANCY WITH OTHER POOR OBSTETRIC HISTORY""|1",,,,
"V234|""MOTORCYCLE DRIVER INJURED IN COLLISION WITH CAR"," PICK-UP TRUCK OR VAN IN TRAFFIC ACCIDENT""|2",,,
"V235|""SUPERVISION OF HIGH-RISK PREGNANCY WITH OTHER POOR REPRODUCTIVE HISTORY""|1",,,,
"V235|""MOTORCYCLE PASSENGER INJURED IN COLLISION WITH CAR"," PICK-UP TRUCK OR VAN IN TRAFFIC ACCIDENT""|2",,,
"V239|""SUPERVISION OF UNSPECIFIED HIGH-RISK PREGNANCY""|1",,,,
"V239|""UNSPECIFIED MOTORCYCLE RIDER INJURED IN COLLISION WITH CAR"," PICK-UP TRUCK OR VAN IN TRAFFIC ACCIDENT""|2",,,
"V24|""POSTPARTUM CARE AND EXAMINATION""|1",,,,
"V24|""MOTORCYCLE RIDER INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS""|2",,,,
"V240|""POSTPARTUM CARE AND EXAMINATION IMMEDIATELY AFTER DELIVERY""|1",,,,
"V240|""MOTORCYCLE DRIVER INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS IN NONTRAFFIC ACCIDENT""|2",,,,
"V241|""POSTPARTUM CARE AND EXAMINATION OF LACTATING MOTHER""|1",,,,
"V241|""MOTORCYCLE PASSENGER INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS IN NONTRAFFIC ACCIDENT""|2",,,,
"V242|""ROUTINE POSTPARTUM FOLLOW-UP""|1",,,,
"V242|""UNSPECIFIED MOTORCYCLE RIDER INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS IN NONTRAFFIC ACCIDENT""|2",,,,
"V25|""ENCOUNTER FOR CONTRACEPTIVE MANAGEMENT""|1",,,,
"V25|""MOTORCYCLE RIDER INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE""|2",,,,
"V250|""GENERAL COUNSELING AND ADVICE ON CONTRACEPTIVE MANAGEMENT""|1",,,,
"V250|""MOTORCYCLE DRIVER INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN NONTRAFFIC ACCIDENT""|2",,,,
"V251|""ENCOUNTER FOR INSERTION OR REMOVAL OF INTRAUTERINE CONTRACEPTIVE DEVICE""|1",,,,
"V251|""MOTORCYCLE PASSENGER INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN NONTRAFFIC ACCIDENT""|2",,,,
"V252|""STERILIZATION""|1",,,,
"V252|""UNSPECIFIED MOTORCYCLE RIDER INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN NONTRAFFIC ACCIDENT""|2",,,,
"V253|""MENSTRUAL EXTRACTION""|1",,,,
"V253|""PERSON BOARDING OR ALIGHTING A MOTORCYCLE INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE""|2",,,,
"V254|""SURVEILLANCE OF PREVIOUSLY PRESCRIBED CONTRACEPTIVE METHODS""|1",,,,
"V254|""MOTORCYCLE DRIVER INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN TRAFFIC ACCIDENT""|2",,,,
"V255|""INSERTION OF IMPLANTABLE SUBDERMAL CONTRACEPTIVE""|1",,,,
"V255|""MOTORCYCLE PASSENGER INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN TRAFFIC ACCIDENT""|2",,,,
"V259|""UNSPECIFIED CONTRACEPTIVE MANAGEMENT""|1",,,,
"V259|""UNSPECIFIED MOTORCYCLE RIDER INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN TRAFFIC ACCIDENT""|2",,,,
"V26|""PROCREATIVE MANAGEMENT""|1",,,,
"V26|""MOTORCYCLE RIDER INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE""|2",,,,
"V260|""TUBOPLASTY OR VASOPLASTY AFTER PREVIOUS STERILIZATION""|1",,,,
"V260|""MOTORCYCLE DRIVER INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN NONTRAFFIC ACCIDENT""|2",,,,
"V261|""ARTIFICIAL INSEMINATION""|1",,,,
"V261|""MOTORCYCLE PASSENGER INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN NONTRAFFIC ACCIDENT""|2",,,,
"V262|""PROCREATION MANAGEMENT INVESTIGATION AND TESTING""|1",,,,
"V262|""UNSPECIFIED MOTORCYCLE RIDER INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN NONTRAFFIC ACCIDENT""|2",,,,
"V263|""GENETIC COUNSELING AND TESTING""|1",,,,
"V263|""PERSON BOARDING OR ALIGHTING A MOTORCYCLE INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE""|2",,,,
"V264|""PROCREATIVE MANAGEMENT","GENERAL COUNSELING AND ADVICE""|1",,,
"V264|""MOTORCYCLE DRIVER INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN TRAFFIC ACCIDENT""|2",,,,
"V265|""STERILAIZATION STATUS""|1",,,,
"V265|""MOTORCYCLE PASSENGER INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN TRAFFIC ACCIDENT""|2",,,,
"V269|""UNSPECIFIED PROCREATIVE MANAGEMENT""|1",,,,
"V269|""UNSPECIFIED MOTORCYCLE RIDER INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN TRAFFIC ACCIDENT""|2",,,,
"V27|""OUTCOME OF DELIVERY""|1",,,,
"V27|""MOTORCYCLE RIDER INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT""|2",,,,
"V270|""OUTCOME OF DELIVERY"," SINGLE LIVEBORN""|1",,,
"V270|""MOTORCYCLE DRIVER INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT IN NONTRAFFIC ACCIDENT""|2",,,,
"V271|""OUTCOME OF DELIVERY"," SINGLE STILLBORN""|1",,,
"V271|""MOTORCYCLE PASSENGER INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT IN NONTRAFFIC ACCIDENT""|2",,,,
"V272|""OUTCOME OF DELIVERY", TWINS," BOTH LIVEBORN""|1",,
"V272|""UNSPECIFIED MOTORCYCLE RIDER INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT IN NONTRAFFIC ACCIDENT""|2",,,,
"V273|""OUTCOME OF DELIVERY", TWINS," ONE LIVEBORN AND ONE STILLBORN""|1",,
