|Count|ICD10|ICD10_desc
4742|11395|I83019|VARICOSE VEINS OF RIGHT LOWER EXTREMITY WITH ULCER OF UNSPECIFIED SITE
4743|11390|Z3181|ENCOUNTER FOR MALE FACTOR INFERTILITY IN FEMALE PATIENT
4744|11388|H40052|OCULAR HYPERTENSION, LEFT EYE
4745|11383|C414|MALIGNANT NEOPLASM OF PELVIC BONES, SACRUM AND COCCYX
4746|11378|K8066|CALCULUS OF GALLBLADDER AND BILE DUCT WITH ACUTE AND CHRONIC CHOLECYSTITIS WITHOUT OBSTRUCTION
4747|11377|H579|UNSPECIFIED DISORDER OF EYE AND ADNEXA
4748|11373|C490|MALIGNANT NEOPLASM OF CONNECTIVE AND SOFT TISSUE OF HEAD, FACE AND NECK
4749|11373|C84A0|CUTANEOUS T-CELL LYMPHOMA, UNSPECIFIED, UNSPECIFIED SITE
4750|11355|S32018A|OTHER FRACTURE OF FIRST LUMBAR VERTEBRA, INITIAL ENCOUNTER FOR CLOSED FRACTURE
4751|11350|N6324|UNSPECIFIED LUMP IN THE LEFT BREAST, LOWER INNER QUADRANT
4752|11347|K50111|CROHN'S DISEASE OF LARGE INTESTINE WITH RECTAL BLEEDING
4753|11346|H6522|CHRONIC SEROUS OTITIS MEDIA, LEFT EAR
4754|11345|G64|OTHER DISORDERS OF PERIPHERAL NERVOUS SYSTEM
4755|11331|C8588|OTHER SPECIFIED TYPES OF NON-HODGKIN LYMPHOMA, LYMPH NODES OF MULTIPLE SITES
4756|11327|O4702|FALSE LABOR BEFORE 37 COMPLETED WEEKS OF GESTATION, SECOND TRIMESTER
4757|11320|Q7649|OTHER CONGENITAL MALFORMATIONS OF SPINE, NOT ASSOCIATED WITH SCOLIOSIS
4758|11315|H5500|UNSPECIFIED NYSTAGMUS
4759|11314|O99511|DISEASES OF THE RESPIRATORY SYSTEM COMPLICATING PREGNANCY, FIRST TRIMESTER
4760|11301|E113411|TYPE 2 DIABETES MELLITUS WITH SEVERE NONPROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA, RIGHT EYE
4761|11294|I69920|APHASIA FOLLOWING UNSPECIFIED CEREBROVASCULAR DISEASE
4762|11293|M21062|VALGUS DEFORMITY, NOT ELSEWHERE CLASSIFIED, LEFT KNEE
4763|11290|H353230|EXUDATIVE AGE-RELATED MACULAR DEGENERATION, BILATERAL, STAGE UNSPECIFIED
4764|11289|Z0283|ENCOUNTER FOR BLOOD-ALCOHOL AND BLOOD-DRUG TEST
4765|11289|F449|DISSOCIATIVE AND CONVERSION DISORDER, UNSPECIFIED
4766|11285|H33002|UNSPECIFIED RETINAL DETACHMENT WITH RETINAL BREAK, LEFT EYE
4767|11285|O30041|TWIN PREGNANCY, DICHORIONIC/DIAMNIOTIC, FIRST TRIMESTER
4768|11281|M25861|OTHER SPECIFIED JOINT DISORDERS, RIGHT KNEE
4769|11279|L52|ERYTHEMA NODOSUM
4770|11275|M25622|STIFFNESS OF LEFT ELBOW, NOT ELSEWHERE CLASSIFIED
4771|11271|M4805|SPINAL STENOSIS, THORACOLUMBAR REGION
4772|11271|N808|OTHER ENDOMETRIOSIS
4773|11264|M3131|WEGENER'S GRANULOMATOSIS WITH RENAL INVOLVEMENT
4774|11261|M79676|PAIN IN UNSPECIFIED TOE(S)
4775|11253|M8668|OTHER CHRONIC OSTEOMYELITIS, OTHER SITE
4776|11253|S52202A|UNSPECIFIED FRACTURE OF SHAFT OF LEFT ULNA, INITIAL ENCOUNTER FOR CLOSED FRACTURE
4777|11251|C8208|FOLLICULAR LYMPHOMA GRADE I, LYMPH NODES OF MULTIPLE SITES
4778|11247|O09812|SUPERVISION OF PREGNANCY RESULTING FROM ASSISTED REPRODUCTIVE TECHNOLOGY, SECOND TRIMESTER
4779|11239|G40A09|ABSENCE EPILEPTIC SYNDROME, NOT INTRACTABLE, WITHOUT STATUS EPILEPTICUS
4781|11238|C37|MALIGNANT NEOPLASM OF THYMUS
4780|11238|R201|HYPOESTHESIA OF SKIN
4782|11236|H540|BLINDNESS, BOTH EYES
4783|11233|F71|MODERATE INTELLECTUAL DISABILITIES
4784|11225|O031|DELAYED OR EXCESSIVE HEMORRHAGE FOLLOWING INCOMPLETE SPONTANEOUS ABORTION
4785|11221|D569|THALASSEMIA, UNSPECIFIED
4786|11219|S339XXA|SPRAIN OF UNSPECIFIED PARTS OF LUMBAR SPINE AND PELVIS, INITIAL ENCOUNTER
4787|11216|S53032A|NURSEMAID'S ELBOW, LEFT ELBOW, INITIAL ENCOUNTER
4788|11214|C9290|MYELOID LEUKEMIA, UNSPECIFIED, NOT HAVING ACHIEVED REMISSION
4789|11212|H35712|CENTRAL SEROUS CHORIORETINOPATHY, LEFT EYE
4790|11210|C91Z0|OTHER LYMPHOID LEUKEMIA NOT HAVING ACHIEVED REMISSION
4791|11208|Q8740|MARFAN'S SYNDROME, UNSPECIFIED
4792|11202|L293|ANOGENITAL PRURITUS, UNSPECIFIED
4793|11195|L97421|NON-PRESSURE CHRONIC ULCER OF LEFT HEEL AND MIDFOOT LIMITED TO BREAKDOWN OF SKIN
4794|11185|S42302D|UNSPECIFIED FRACTURE OF SHAFT OF HUMERUS, LEFT ARM, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH ROUTINE HEALING
4795|11184|H6590|UNSPECIFIED NONSUPPURATIVE OTITIS MEDIA, UNSPECIFIED EAR
4796|11183|I675|MOYAMOYA DISEASE
4797|11171|A319|MYCOBACTERIAL INFECTION, UNSPECIFIED
4798|11170|C6932|MALIGNANT NEOPLASM OF LEFT CHOROID
4799|11169|G2582|STIFF-MAN SYNDROME
4800|11166|C673|MALIGNANT NEOPLASM OF ANTERIOR WALL OF BLADDER
4801|11165|I201|ANGINA PECTORIS WITH DOCUMENTED SPASM
4802|11163|C8519|UNSPECIFIED B-CELL LYMPHOMA, EXTRANODAL AND SOLID ORGAN SITES
4803|11161|C4490|UNSPECIFIED MALIGNANT NEOPLASM OF SKIN, UNSPECIFIED
4804|11160|L97513|NON-PRESSURE CHRONIC ULCER OF OTHER PART OF RIGHT FOOT WITH NECROSIS OF MUSCLE
4805|11156|D480|NEOPLASM OF UNCERTAIN BEHAVIOR OF BONE AND ARTICULAR CARTILAGE
4806|11148|D1723|BENIGN LIPOMATOUS NEOPLASM OF SKIN AND SUBCUTANEOUS TISSUE OF RIGHT LEG
4807|11144|S30811A|ABRASION OF ABDOMINAL WALL, INITIAL ENCOUNTER
4808|11140|S92002A|UNSPECIFIED FRACTURE OF LEFT CALCANEUS, INITIAL ENCOUNTER FOR CLOSED FRACTURE
4809|11137|P701|SYNDROME OF INFANT OF A DIABETIC MOTHER
4810|11136|H4010X0|UNSPECIFIED OPEN-ANGLE GLAUCOMA, STAGE UNSPECIFIED
4811|11135|F28|OTHER PSYCHOTIC DISORDER NOT DUE TO A SUBSTANCE OR KNOWN PHYSIOLOGICAL CONDITION
4812|11130|G44319|ACUTE POST-TRAUMATIC HEADACHE, NOT INTRACTABLE
4813|11119|Z4803|ENCOUNTER FOR CHANGE OR REMOVAL OF DRAINS
4814|11119|S82002D|UNSPECIFIED FRACTURE OF LEFT PATELLA, SUBSEQUENT ENCOUNTER FOR CLOSED FRACTURE WITH ROUTINE HEALING
4815|11116|H66004|ACUTE SUPPURATIVE OTITIS MEDIA WITHOUT SPONTANEOUS RUPTURE OF EAR DRUM, RECURRENT, RIGHT EAR
4816|11108|S92351D|DISPLACED FRACTURE OF FIFTH METATARSAL BONE, RIGHT FOOT, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH ROUTINE HEALING
4817|11108|F72|SEVERE INTELLECTUAL DISABILITIES
4818|11107|I8001|PHLEBITIS AND THROMBOPHLEBITIS OF SUPERFICIAL VESSELS OF RIGHT LOWER EXTREMITY
4819|11101|N475|ADHESIONS OF PREPUCE AND GLANS PENIS
4820|11098|P961|NEONATAL WITHDRAWAL SYMPTOMS FROM MATERNAL USE OF DRUGS OF ADDICTION
4821|11095|E113591|TYPE 2 DIABETES MELLITUS WITH PROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, RIGHT EYE
4822|11089|I7409|OTHER ARTERIAL EMBOLISM AND THROMBOSIS OF ABDOMINAL AORTA
4823|11086|M25871|OTHER SPECIFIED JOINT DISORDERS, RIGHT ANKLE AND FOOT
4824|11082|N904|LEUKOPLAKIA OF VULVA
4825|11077|C493|MALIGNANT NEOPLASM OF CONNECTIVE AND SOFT TISSUE OF THORAX
4826|11071|S0992XA|UNSPECIFIED INJURY OF NOSE, INITIAL ENCOUNTER
4827|11061|I7103|DISSECTION OF THORACOABDOMINAL AORTA
4828|11059|P030|NEWBORN AFFECTED BY BREECH DELIVERY AND EXTRACTION
4829|11054|M25774|OSTEOPHYTE, RIGHT FOOT
4830|11048|S52591D|OTHER FRACTURES OF LOWER END OF RIGHT RADIUS, SUBSEQUENT ENCOUNTER FOR CLOSED FRACTURE WITH ROUTINE HEALING
4831|11044|K316|FISTULA OF STOMACH AND DUODENUM
4832|11030|C163|MALIGNANT NEOPLASM OF PYLORIC ANTRUM
4833|11024|I608|OTHER NONTRAUMATIC SUBARACHNOID HEMORRHAGE
4834|11017|H5051|ESOPHORIA
4835|11006|O09813|SUPERVISION OF PREGNANCY RESULTING FROM ASSISTED REPRODUCTIVE TECHNOLOGY, THIRD TRIMESTER
4836|10997|B0089|OTHER HERPESVIRAL INFECTION
4837|10991|H9122|SUDDEN IDIOPATHIC HEARING LOSS, LEFT EAR
4838|10991|S0511XA|CONTUSION OF EYEBALL AND ORBITAL TISSUES, RIGHT EYE, INITIAL ENCOUNTER
4839|10990|S129XXA|FRACTURE OF NECK, UNSPECIFIED, INITIAL ENCOUNTER
4840|10986|O365920|MATERNAL CARE FOR OTHER KNOWN OR SUSPECTED POOR FETAL GROWTH, SECOND TRIMESTER, NOT APPLICABLE OR UNSPECIFIED
4841|10986|S13100A|SUBLUXATION OF UNSPECIFIED CERVICAL VERTEBRAE, INITIAL ENCOUNTER
4842|10977|Z148|GENETIC CARRIER OF OTHER DISEASE
4843|10977|I427|CARDIOMYOPATHY DUE TO DRUG AND EXTERNAL AGENT
4844|10975|I151|HYPERTENSION SECONDARY TO OTHER RENAL DISORDERS
4845|10966|M14672|CHARCOT'S JOINT, LEFT ANKLE AND FOOT
4846|10954|I63531|CEREBRAL INFARCTION DUE TO UNSPECIFIED OCCLUSION OR STENOSIS OF RIGHT POSTERIOR CEREBRAL ARTERY
4847|10946|G63|POLYNEUROPATHY IN DISEASES CLASSIFIED ELSEWHERE
4848|10937|M5406|PANNICULITIS AFFECTING REGIONS OF NECK AND BACK, LUMBAR REGION
4849|10930|H6642|SUPPURATIVE OTITIS MEDIA, UNSPECIFIED, LEFT EAR
4850|10918|O8612|ENDOMETRITIS FOLLOWING DELIVERY
4851|10915|S73101A|UNSPECIFIED SPRAIN OF RIGHT HIP, INITIAL ENCOUNTER
4852|10911|C662|MALIGNANT NEOPLASM OF LEFT URETER
4853|10901|D1724|BENIGN LIPOMATOUS NEOPLASM OF SKIN AND SUBCUTANEOUS TISSUE OF LEFT LEG
4854|10895|M4124|OTHER IDIOPATHIC SCOLIOSIS, THORACIC REGION
4855|10893|L940|LOCALIZED SCLERODERMA [MORPHEA]
4856|10893|S12500A|UNSPECIFIED DISPLACED FRACTURE OF SIXTH CERVICAL VERTEBRA, INITIAL ENCOUNTER FOR CLOSED FRACTURE
4857|10891|C8112|NODULAR SCLEROSIS HODGKIN LYMPHOMA, INTRATHORACIC LYMPH NODES
4858|10889|I6783|POSTERIOR REVERSIBLE ENCEPHALOPATHY SYNDROME
4859|10882|M4604|SPINAL ENTHESOPATHY, THORACIC REGION
4860|10879|K82A1|GANGRENE OF GALLBLADDER IN CHOLECYSTITIS
4861|10877|N6314|UNSPECIFIED LUMP IN THE RIGHT BREAST, LOWER INNER QUADRANT
4862|10870|E11341|TYPE 2 DIABETES MELLITUS WITH SEVERE NONPROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA
4863|10867|H35711|CENTRAL SEROUS CHORIORETINOPATHY, RIGHT EYE
4864|10863|H18603|KERATOCONUS, UNSPECIFIED, BILATERAL
4865|10862|Z481|ENCOUNTER FOR PLANNED POSTPROCEDURAL WOUND CLOSURE
4866|10862|J850|GANGRENE AND NECROSIS OF LUNG
4867|10860|R896|ABNORMAL CYTOLOGICAL FINDINGS IN SPECIMENS FROM OTHER ORGANS, SYSTEMS AND TISSUES
4868|10857|Z3A21|21 WEEKS GESTATION OF PREGNANCY
4869|10856|C8200|FOLLICULAR LYMPHOMA GRADE I, UNSPECIFIED SITE
4870|10841|S72145A|NONDISPLACED INTERTROCHANTERIC FRACTURE OF LEFT FEMUR, INITIAL ENCOUNTER FOR CLOSED FRACTURE
4871|10837|J9311|PRIMARY SPONTANEOUS PNEUMOTHORAX
4872|10836|D0502|LOBULAR CARCINOMA IN SITU OF LEFT BREAST
4873|10822|R9721|RISING PSA FOLLOWING TREATMENT FOR MALIGNANT NEOPLASM OF PROSTATE
4874|10819|Q8789|OTHER SPECIFIED CONGENITAL MALFORMATION SYNDROMES, NOT ELSEWHERE CLASSIFIED
4875|10800|H40019|OPEN ANGLE WITH BORDERLINE FINDINGS, LOW RISK, UNSPECIFIED EYE
4876|10800|S01312A|LACERATION WITHOUT FOREIGN BODY OF LEFT EAR, INITIAL ENCOUNTER
4877|10796|H353210|EXUDATIVE AGE-RELATED MACULAR DEGENERATION, RIGHT EYE, STAGE UNSPECIFIED
4878|10790|I82C11|ACUTE EMBOLISM AND THROMBOSIS OF RIGHT INTERNAL JUGULAR VEIN
4879|10784|S82202D|UNSPECIFIED FRACTURE OF SHAFT OF LEFT TIBIA, SUBSEQUENT ENCOUNTER FOR CLOSED FRACTURE WITH ROUTINE HEALING
4880|10783|R1907|GENERALIZED INTRA-ABDOMINAL AND PELVIC SWELLING, MASS AND LUMP
4881|10781|D4621|REFRACTORY ANEMIA WITH EXCESS OF BLASTS 1
4882|10779|M25422|EFFUSION, LEFT ELBOW
4883|10778|D46C|MYELODYSPLASTIC SYNDROME WITH ISOLATED DEL(5Q) CHROMOSOMAL ABNORMALITY
4884|10774|Z89422|ACQUIRED ABSENCE OF OTHER LEFT TOE(S)
4885|10772|H3322|SEROUS RETINAL DETACHMENT, LEFT EYE
4886|10772|J206|ACUTE BRONCHITIS DUE TO RHINOVIRUS
4887|10771|C8334|DIFFUSE LARGE B-CELL LYMPHOMA, LYMPH NODES OF AXILLA AND UPPER LIMB
4888|10768|D802|SELECTIVE DEFICIENCY OF IMMUNOGLOBULIN A [IGA]
4889|10761|J390|RETROPHARYNGEAL AND PARAPHARYNGEAL ABSCESS
4890|10758|I82811|EMBOLISM AND THROMBOSIS OF SUPERFICIAL VEINS OF RIGHT LOWER EXTREMITY
4891|10754|M76899|OTHER SPECIFIED ENTHESOPATHIES OF UNSPECIFIED LOWER LIMB, EXCLUDING FOOT
4892|10749|M7912|MYALGIA OF AUXILIARY MUSCLES, HEAD AND NECK
4893|10748|K50118|CROHN'S DISEASE OF LARGE INTESTINE WITH OTHER COMPLICATION
4894|10740|H353134|NONEXUDATIVE AGE-RELATED MACULAR DEGENERATION, BILATERAL, ADVANCED ATROPHIC WITH SUBFOVEAL INVOLVEMENT
4895|10738|I87333|CHRONIC VENOUS HYPERTENSION (IDIOPATHIC) WITH ULCER AND INFLAMMATION OF BILATERAL LOWER EXTREMITY
4896|10733|I25710|ATHEROSCLEROSIS OF AUTOLOGOUS VEIN CORONARY ARTERY BYPASS GRAFT(S) WITH UNSTABLE ANGINA PECTORIS
4897|10733|K089|DISORDER OF TEETH AND SUPPORTING STRUCTURES, UNSPECIFIED
4898|10729|L271|LOCALIZED SKIN ERUPTION DUE TO DRUGS AND MEDICAMENTS TAKEN INTERNALLY
4899|10725|G720|DRUG-INDUCED MYOPATHY
4901|10721|M25862|OTHER SPECIFIED JOINT DISORDERS, LEFT KNEE
4900|10721|L258|UNSPECIFIED CONTACT DERMATITIS DUE TO OTHER AGENTS
4902|10715|M24851|OTHER SPECIFIC JOINT DERANGEMENTS OF RIGHT HIP, NOT ELSEWHERE CLASSIFIED
4903|10711|T888XXA|OTHER SPECIFIED COMPLICATIONS OF SURGICAL AND MEDICAL CARE, NOT ELSEWHERE CLASSIFIED, INITIAL ENCOUNTER
4904|10711|S92511A|DISPLACED FRACTURE OF PROXIMAL PHALANX OF RIGHT LESSER TOE(S), INITIAL ENCOUNTER FOR CLOSED FRACTURE
4905|10702|G10|HUNTINGTON'S DISEASE
4906|10700|T8142XA|INFECTION FOLLOWING A PROCEDURE, DEEP INCISIONAL SURGICAL SITE, INITIAL ENCOUNTER
4907|10696|N3021|OTHER CHRONIC CYSTITIS WITH HEMATURIA
4908|10696|R749|ABNORMAL SERUM ENZYME LEVEL, UNSPECIFIED
4909|10694|N452|ORCHITIS
4910|10693|M4307|SPONDYLOLYSIS, LUMBOSACRAL REGION
4911|10690|Z859|PERSONAL HISTORY OF MALIGNANT NEOPLASM, UNSPECIFIED
4912|10685|G709|MYONEURAL DISORDER, UNSPECIFIED
4914|10683|R432|PARAGEUSIA
4913|10683|T82856A|STENOSIS OF PERIPHERAL VASCULAR STENT, INITIAL ENCOUNTER
4915|10680|G7289|OTHER SPECIFIED MYOPATHIES
4916|10678|Z89421|ACQUIRED ABSENCE OF OTHER RIGHT TOE(S)
4917|10677|Q248|OTHER SPECIFIED CONGENITAL MALFORMATIONS OF HEART
4918|10671|I2583|CORONARY ATHEROSCLEROSIS DUE TO LIPID RICH PLAQUE
4919|10670|S81812D|LACERATION WITHOUT FOREIGN BODY, LEFT LOWER LEG, SUBSEQUENT ENCOUNTER
4920|10669|I82502|CHRONIC EMBOLISM AND THROMBOSIS OF UNSPECIFIED DEEP VEINS OF LEFT LOWER EXTREMITY
4921|10665|I788|OTHER DISEASES OF CAPILLARIES
4922|10663|R1904|LEFT LOWER QUADRANT ABDOMINAL SWELLING, MASS AND LUMP
4923|10659|O43123|VELAMENTOUS INSERTION OF UMBILICAL CORD, THIRD TRIMESTER
4924|10649|R053|CHRONIC COUGH
4925|10636|S066X0A|TRAUMATIC SUBARACHNOID HEMORRHAGE WITHOUT LOSS OF CONSCIOUSNESS, INITIAL ENCOUNTER
4926|10636|P1281|CAPUT SUCCEDANEUM
4928|10635|S52611A|DISPLACED FRACTURE OF RIGHT ULNA STYLOID PROCESS, INITIAL ENCOUNTER FOR CLOSED FRACTURE
4927|10635|Z30014|ENCOUNTER FOR INITIAL PRESCRIPTION OF INTRAUTERINE CONTRACEPTIVE DEVICE
4929|10621|Q871|CONGENITAL MALFORMATION SYNDROMES PREDOMINANTLY ASSOCIATED WITH SHORT STATURE
4930|10617|D303|BENIGN NEOPLASM OF BLADDER
4931|10613|R231|PALLOR
4932|10606|F3176|BIPOLAR DISORDER, IN FULL REMISSION, MOST RECENT EPISODE DEPRESSED
4933|10598|M7550|BURSITIS OF UNSPECIFIED SHOULDER
4934|10597|O24013|PRE-EXISTING TYPE 1 DIABETES MELLITUS, IN PREGNANCY, THIRD TRIMESTER
4935|10593|S01311A|LACERATION WITHOUT FOREIGN BODY OF RIGHT EAR, INITIAL ENCOUNTER
4936|10584|S72401A|UNSPECIFIED FRACTURE OF LOWER END OF RIGHT FEMUR, INITIAL ENCOUNTER FOR CLOSED FRACTURE
4937|10584|I69319|UNSPECIFIED SYMPTOMS AND SIGNS INVOLVING COGNITIVE FUNCTIONS FOLLOWING CEREBRAL INFARCTION
4938|10574|R894|ABNORMAL IMMUNOLOGICAL FINDINGS IN SPECIMENS FROM OTHER ORGANS, SYSTEMS AND TISSUES
4939|10572|D7289|OTHER SPECIFIED DISORDERS OF WHITE BLOOD CELLS
4941|10571|G4701|INSOMNIA DUE TO MEDICAL CONDITION
4940|10571|P0734|PRETERM NEWBORN, GESTATIONAL AGE 31 COMPLETED WEEKS
4942|10566|M62552|MUSCLE WASTING AND ATROPHY, NOT ELSEWHERE CLASSIFIED, LEFT THIGH
4943|10562|K6282|DYSPLASIA OF ANUS
4944|10548|H00019|HORDEOLUM EXTERNUM UNSPECIFIED EYE, UNSPECIFIED EYELID
4945|10546|I67848|OTHER CEREBROVASCULAR VASOSPASM AND VASOCONSTRICTION
4946|10544|T7801XD|ANAPHYLACTIC REACTION DUE TO PEANUTS, SUBSEQUENT ENCOUNTER
4947|10542|S0101XD|LACERATION WITHOUT FOREIGN BODY OF SCALP, SUBSEQUENT ENCOUNTER
4948|10537|T783XXD|ANGIONEUROTIC EDEMA, SUBSEQUENT ENCOUNTER
4949|10532|S20229A|CONTUSION OF UNSPECIFIED BACK WALL OF THORAX, INITIAL ENCOUNTER
4950|10530|S92515A|NONDISPLACED FRACTURE OF PROXIMAL PHALANX OF LEFT LESSER TOE(S), INITIAL ENCOUNTER FOR CLOSED FRACTURE
4951|10530|D1771|BENIGN LIPOMATOUS NEOPLASM OF KIDNEY
4952|10511|Z807|FAMILY HISTORY OF OTHER MALIGNANT NEOPLASMS OF LYMPHOID, HEMATOPOIETIC AND RELATED TISSUES
4955|10509|O3483|MATERNAL CARE FOR OTHER ABNORMALITIES OF PELVIC ORGANS, THIRD TRIMESTER
4953|10509|I770|ARTERIOVENOUS FISTULA, ACQUIRED
4954|10509|J155|PNEUMONIA DUE TO ESCHERICHIA COLI
4956|10505|K91850|POUCHITIS
4957|10502|Z4932|ENCOUNTER FOR ADEQUACY TESTING FOR PERITONEAL DIALYSIS
4958|10499|D479|NEOPLASM OF UNCERTAIN BEHAVIOR OF LYMPHOID, HEMATOPOIETIC AND RELATED TISSUE, UNSPECIFIED
4959|10498|M40209|UNSPECIFIED KYPHOSIS, SITE UNSPECIFIED
4960|10498|D261|OTHER BENIGN NEOPLASM OF CORPUS UTERI
4961|10494|D367|BENIGN NEOPLASM OF OTHER SPECIFIED SITES
4962|10487|M9914|SUBLUXATION COMPLEX (VERTEBRAL) OF SACRAL REGION
4963|10455|I342|NONRHEUMATIC MITRAL (VALVE) STENOSIS
4964|10452|F4481|DISSOCIATIVE IDENTITY DISORDER
4965|10448|C652|MALIGNANT NEOPLASM OF LEFT RENAL PELVIS
4966|10448|G5631|LESION OF RADIAL NERVE, RIGHT UPPER LIMB
4968|10444|R402213|COMA SCALE, BEST VERBAL RESPONSE, NONE, AT HOSPITAL ADMISSION
4967|10444|S92512A|DISPLACED FRACTURE OF PROXIMAL PHALANX OF LEFT LESSER TOE(S), INITIAL ENCOUNTER FOR CLOSED FRACTURE
4969|10431|N4340|SPERMATOCELE OF EPIDIDYMIS, UNSPECIFIED
4970|10416|S0031XA|ABRASION OF NOSE, INITIAL ENCOUNTER
4971|10400|P025|NEWBORN AFFECTED BY OTHER COMPRESSION OF UMBILICAL CORD
4972|10398|G464|CEREBELLAR STROKE SYNDROME
4973|10392|M00861|ARTHRITIS DUE TO OTHER BACTERIA, RIGHT KNEE
4974|10387|K260|ACUTE DUODENAL ULCER WITH HEMORRHAGE
4975|10380|Q201|DOUBLE OUTLET RIGHT VENTRICLE
4976|10379|E0865|DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH HYPERGLYCEMIA
4977|10376|R0601|ORTHOPNEA
4978|10375|M222X9|PATELLOFEMORAL DISORDERS, UNSPECIFIED KNEE
4979|10374|O350XX0|MATERNAL CARE FOR (SUSPECTED) CENTRAL NERVOUS SYSTEM MALFORMATION IN FETUS, NOT APPLICABLE OR UNSPECIFIED
4980|10361|Q02|MICROCEPHALY
4981|10359|Z602|PROBLEMS RELATED TO LIVING ALONE
4982|10355|H353133|NONEXUDATIVE AGE-RELATED MACULAR DEGENERATION, BILATERAL, ADVANCED ATROPHIC WITHOUT SUBFOVEAL INVOLVEMENT
4983|10346|N643|GALACTORRHEA NOT ASSOCIATED WITH CHILDBIRTH
4984|10339|B955|UNSPECIFIED STREPTOCOCCUS AS THE CAUSE OF DISEASES CLASSIFIED ELSEWHERE
4985|10330|K55069|ACUTE INFARCTION OF INTESTINE, PART AND EXTENT UNSPECIFIED
4986|10328|X58XXXA|EXPOSURE TO OTHER SPECIFIED FACTORS, INITIAL ENCOUNTER
4987|10322|L97523|NON-PRESSURE CHRONIC ULCER OF OTHER PART OF LEFT FOOT WITH NECROSIS OF MUSCLE
4988|10320|I4589|OTHER SPECIFIED CONDUCTION DISORDERS
4989|10319|M23231|DERANGEMENT OF OTHER MEDIAL MENISCUS DUE TO OLD TEAR OR INJURY, RIGHT KNEE
4990|10312|K51019|ULCERATIVE (CHRONIC) PANCOLITIS WITH UNSPECIFIED COMPLICATIONS
4991|10312|C8319|MANTLE CELL LYMPHOMA, EXTRANODAL AND SOLID ORGAN SITES
4992|10311|K8063|CALCULUS OF GALLBLADDER AND BILE DUCT WITH ACUTE CHOLECYSTITIS WITH OBSTRUCTION
4993|10309|L97411|NON-PRESSURE CHRONIC ULCER OF RIGHT HEEL AND MIDFOOT LIMITED TO BREAKDOWN OF SKIN
4994|10305|T80219A|UNSPECIFIED INFECTION DUE TO CENTRAL VENOUS CATHETER, INITIAL ENCOUNTER
4995|10300|S72402A|UNSPECIFIED FRACTURE OF LOWER END OF LEFT FEMUR, INITIAL ENCOUNTER FOR CLOSED FRACTURE
4996|10291|J4522|MILD INTERMITTENT ASTHMA WITH STATUS ASTHMATICUS
4997|10289|S46811D|STRAIN OF OTHER MUSCLES, FASCIA AND TENDONS AT SHOULDER AND UPPER ARM LEVEL, RIGHT ARM, SUBSEQUENT ENCOUNTER
4998|10286|K0510|CHRONIC GINGIVITIS, PLAQUE INDUCED
4999|10285|S42002D|FRACTURE OF UNSPECIFIED PART OF LEFT CLAVICLE, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH ROUTINE HEALING
5000|10280|T8450XA|INFECTION AND INFLAMMATORY REACTION DUE TO UNSPECIFIED INTERNAL JOINT PROSTHESIS, INITIAL ENCOUNTER
5001|10279|Z8279|FAMILY HISTORY OF OTHER CONGENITAL MALFORMATIONS, DEFORMATIONS AND CHROMOSOMAL ABNORMALITIES
5002|10279|M2140|FLAT FOOT [PES PLANUS] (ACQUIRED), UNSPECIFIED FOOT
5003|10269|G030|NONPYOGENIC MENINGITIS
5004|10265|R402212|COMA SCALE, BEST VERBAL RESPONSE, NONE, AT ARRIVAL TO EMERGENCY DEPARTMENT
5005|10264|M4620|OSTEOMYELITIS OF VERTEBRA, SITE UNSPECIFIED
5006|10261|R971|ELEVATED CANCER ANTIGEN 125 [CA 125]
5007|10256|G969|DISORDER OF CENTRAL NERVOUS SYSTEM, UNSPECIFIED
5008|10255|M8618|OTHER ACUTE OSTEOMYELITIS, OTHER SITE
5009|10254|O113|PRE-EXISTING HYPERTENSION WITH PRE-ECLAMPSIA, THIRD TRIMESTER
5010|10251|O2692|PREGNANCY RELATED CONDITIONS, UNSPECIFIED, SECOND TRIMESTER
5011|10244|S63591A|OTHER SPECIFIED SPRAIN OF RIGHT WRIST, INITIAL ENCOUNTER
5012|10240|O2412|PRE-EXISTING TYPE 2 DIABETES MELLITUS, IN CHILDBIRTH
5013|10238|G4739|OTHER SLEEP APNEA
5014|10227|T86810|LUNG TRANSPLANT REJECTION
5015|10226|L74510|PRIMARY FOCAL HYPERHIDROSIS, AXILLA
5016|10217|S62316A|DISPLACED FRACTURE OF BASE OF FIFTH METACARPAL BONE, RIGHT HAND, INITIAL ENCOUNTER FOR CLOSED FRACTURE
5017|10216|G8101|FLACCID HEMIPLEGIA AFFECTING RIGHT DOMINANT SIDE
5018|10203|H0289|OTHER SPECIFIED DISORDERS OF EYELID
5019|10196|M6588|OTHER SYNOVITIS AND TENOSYNOVITIS, OTHER SITE
5021|10190|Q666|OTHER CONGENITAL VALGUS DEFORMITIES OF FEET
